Component1,Component2,Component3,Component4,Component5,Label
0.024782784,-12.231638,-9.217561,2.081463,6.1051717,41
-19.41428,15.927194,-0.9838791,-5.5523667,-7.7793965,53
-12.746757,-11.976662,0.41093516,11.543039,5.21168,44
21.947672,-2.478479,2.0950754,-13.102456,-10.227109,60
12.436664,8.28869,15.070073,-11.760772,-3.2905045,37
13.272723,11.398618,-9.130501,13.25944,-8.852658,87
-14.966505,-5.0769925,3.1905725,-6.356914,-15.193816,35
-16.998482,12.208068,-11.085122,2.9127247,6.2547517,98
-1.5619272,21.770401,-4.2646623,-0.36979422,-10.19855,10
-13.732975,-15.715133,1.0902967,8.559572,7.061811,44
7.7592297,8.783139,-3.9067504,13.823467,-1.088633,53
